ID,Experiment,Gene_Model,Log2FoldChange,STRESS
25,10_SRP064384_mixedEffect_SRP064384_E0_A50_Embrapa48_Root,HK (Glyma.14G001000),-0.358198935,Abiotic
25,11_SRP105922-965_Drought_Wm82_Root,HK (Glyma.14G001000),-1.362281311,Abiotic
25,11_SRP105922-965_HIghCO2_Wm82_Root,HK (Glyma.14G001000),-1.228377261,Abiotic
25,11_SRP105922-965_HIghpH_Wm82_Root,HK (Glyma.14G001000),-0.289397983,Abiotic
25,11_SRP105922-965_HIghT_Wm82_Root,HK (Glyma.14G001000),0.735405973,Abiotic
25,11_SRP105922-965_lowpH_Wm82_Root,HK (Glyma.14G001000),-0.463559101,Abiotic
25,11_SRP105922-965_lowT_Wm82_Root,HK (Glyma.14G001000),1.043304673,Abiotic
25,11_SRP105922-965_Salinity_Wm82_Root,HK (Glyma.14G001000),-1.588827449,Abiotic
25,11_SRP105922-965_minusFe_Wm82_Root,HK (Glyma.14G001000),0.241862009,Abiotic
25,11_SRP105922-965_minusK_Wm82_Root,HK (Glyma.14G001000),0.361183762,Abiotic
25,11_SRP105922-965_minusN_Wm82_Root,HK (Glyma.14G001000),0.068103467,Abiotic
25,11_SRP105922-965_minusP_Wm82_Root,HK (Glyma.14G001000),-1.486434315,Abiotic
25,12_SRP132150_Salt_1h_C08_Leaf,HK (Glyma.14G001000),0.55676616,Abiotic
25,12_SRP132150_Salt_2h_C08_Leaf,HK (Glyma.14G001000),0.464670579,Abiotic
25,12_SRP132150_Salt_4h_C08_Leaf,HK (Glyma.14G001000),0.688982384,Abiotic
25,12_SRP132150_Salt_24h_C08_Leaf,HK (Glyma.14G001000),1.06733792,Abiotic
25,12_SRP132150_Salt_48h_C08_Leaf,HK (Glyma.14G001000),1.445606402,Abiotic
25,12_SRP132150_Salt_1h_C08_Root,HK (Glyma.14G001000),-0.156643352,Abiotic
25,12_SRP132150_Salt_2h_C08_Root,HK (Glyma.14G001000),-0.369516903,Abiotic
25,12_SRP132150_Salt_4h_C08_Root,HK (Glyma.14G001000),-0.395623979,Abiotic
25,12_SRP132150_Salt_24h_C08_Root,HK (Glyma.14G001000),-0.629905281,Abiotic
25,12_SRP132150_Salt_48h_C08_Root,HK (Glyma.14G001000),0.020273478,Abiotic
25,"13_SRP108540_2,5Bic_effect_U06-625083_Root",HK (Glyma.14G001000),-0.16952518,Abiotic
25,13_SRP108540_5Bic_effect_U06-625083_Root,HK (Glyma.14G001000),-0.273523833,Abiotic
25,"13_SRP108540_2,5Bic_effect_U06-105454_Root",HK (Glyma.14G001000),-0.337256348,Abiotic
25,13_SRP108540_5Bic_effect_U06-105454_Root,HK (Glyma.14G001000),0.233955776,Abiotic
25,13_SRP108540_LowFe_effect_U06-625083_Root,HK (Glyma.14G001000),-0.540745628,Abiotic
25,13_SRP108540_LowFe_effect_U06-105454_Root,HK (Glyma.14G001000),0.310293313,Abiotic
25,14_SRP155375_Si-_P.soja_Infection_4dpi_Hikmok_Root,HK (Glyma.14G001000),-1.27974383,Biotic
25,14_SRP155375_Si-_P.soja_Infection_7dpi_Hikmok_Root,HK (Glyma.14G001000),-0.864799085,Biotic
25,14_SRP155375_Si-_P.soja_infection_14dpi_Hikmok_Root,HK (Glyma.14G001000),-0.027571044,Biotic
25,14_SRP155375_Si+_P.soja_infection_4dpi_Hikmok_Root,HK (Glyma.14G001000),-0.160901844,Biotic
25,14_SRP155375_Si+_P.soja_infection_7dpi_Hikmok_Root,HK (Glyma.14G001000),-0.281849353,Biotic
25,14_SRP155375_Si+_P.soja_infection_14dpi_Hikmok_Root,HK (Glyma.14G001000),-0.097473304,Biotic
25,14_SRP155375_SI-_S+_0dpi_Hikmok_Root,HK (Glyma.14G001000),0.061252317,Biotic
25,14_SRP155375_SI-_S+_4dpi_Hikmok_Root,HK (Glyma.14G001000),1.122529409,Biotic
25,14_SRP155375_SI-_S+_7dpi_Hikmok_Root,HK (Glyma.14G001000),0.644658394,Biotic
25,14_SRP155375_SI-_S+_14dpi_Hikmok_Root,HK (Glyma.14G001000),-0.004032841,Biotic
25,15_SRP056137_non_path_72hpi_F.oxysporum_Forrest_Root,HK (Glyma.14G001000),0.160088479,Biotic
25,15_SRP056137_non_path_96hpi_F.oxysporum_Forrest_Root,HK (Glyma.14G001000),-0.056722181,Biotic
25,15_SRP056137_path_72hpi_F.oxysporum_Forrest_Root,HK (Glyma.14G001000),0.162860871,Biotic
25,15_SRP056137_path_96hpi_F.oxysporum_Forrest_Root,HK (Glyma.14G001000),0.067920067,Biotic
25,16_SRP091708_Nematode_R.reniformis_3DAI_Hutcheson_Root,HK (Glyma.14G001000),1.225470612,Biotic
25,16_SRP091708_Nematode_R.reniformis_6DAI_Hutcheson_Root,HK (Glyma.14G001000),0.640454826,Biotic
